Date,vix,spx,vxx,vix_vol,vix_futures_f1,vix_futures_f2,term_structure,spx_ma50,spx_trend,vix_change,vix_ma10,market_state,market_state_smooth,ts_signal,vix_futures_vol,ts_position_size,ts_position,ts_returns,ts_signal_change,ts_returns_trade_cost,ts_returns_short_cost,ts_returns_net,etf_signal,hedge_ratio,etf_position,etf_returns,etf_signal_change,etf_returns_trade_cost,etf_returns_short_cost,etf_returns_net,ts_weight,etf_weight,ts_target_weight,etf_target_weight,dynamic_returns,equal_weight_returns
2014-11-12,13.020000457763672,2038.25,,3.1518103939839475,13.473432232377863,13.830865745968202,0.9741568228514884,,0,0.7739967560310701,13.774000072479248,2,2,1.0,1.0745795762206996,0.5,0.5,0.03197571685729528,0.0,0.0,0,0.03197571685729528,-1.0,0.6208000183105469,-0.6208000183105469,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-13,13.789999961853027,2039.3299560546875,,2.2657451515318754,13.120664901820488,13.349798659927924,0.982836163754647,,0,5.913974477859663,13.701000022888184,2,2,1.0,1.0572432358719355,0.5,0.5,-0.013091219982895086,0.0,0.0,0,-0.013091219982895086,-1.0,0.7515999984741211,-0.7515999984741211,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-14,13.3100004196167,2039.8199462890625,,1.6458078402294043,12.98040737418665,13.417825063168085,0.9674002539962944,,0,-3.4807798663099354,13.629000091552737,2,2,1.0,0.9621854972916749,0.5,0.5,-0.005344909297027245,0.0,0.0,0,-0.005344909297027245,-1.0,0.632400016784668,-0.632400016784668,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-17,13.989999771118164,2041.3199462890625,,1.389187758034784,14.388930400496818,14.971133133361986,0.9611116454794076,,0,5.108935612798793,13.55500011444092,2,2,1.0,0.9159411903209774,0.5,0.5,0.05425573272496875,0.0,0.0,0,0.05425573272496875,-1.0,0.7595999908447265,-0.7595999908447265,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-18,13.859999656677246,2051.800048828125,,1.3486014472940384,14.536232963841089,15.30753959752706,0.9496126318163778,,0,-0.9292360011992185,13.452000045776368,2,2,1.0,0.9043172234855754,0.5,0.5,0.005118607125210062,0.0,0.0,0,0.005118607125210062,-1.0,0.6543999862670898,-0.6543999862670898,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-19,13.960000038146973,2048.719970703125,,1.0821290342307082,14.347684176834608,15.212664471107525,0.9431407761660872,,0,0.7215034916797425,13.43100004196167,2,2,1.0,0.879400507507813,0.5,0.5,-0.0064854762398035,0.0,0.0,0,-0.0064854762398035,-1.0,0.6584000015258789,-0.6584000015258789,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-20,13.579999923706056,2052.75,,0.946630707580784,13.843175786326633,14.150540466179708,0.9782789441443818,,0,-2.722063849588341,13.42200002670288,2,2,1.0,0.8622536666517767,0.5,0.5,-0.017581526896254862,0.0,0.0,0,-0.017581526896254862,-1.0,0.6431999969482423,-0.6431999969482423,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-21,12.899999618530272,2063.5,,0.8548652712105858,13.104447789809116,13.099766917678776,1.0003573248409496,,0,-5.007366045626648,13.4,3,2,1.0,0.8498393735605329,0.5,0.5,-0.026682027589622292,0.0,0.0,0,-0.026682027589622292,-1.0,0.6159999847412109,-0.6159999847412109,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-24,12.619999885559082,2069.409912109375,,0.7469902571445732,12.249738896097416,12.493191514643357,0.9805131764561053,,0,-2.1705406298538565,13.394999980926514,2,2,1.0,0.8651626191040747,0.5,0.5,-0.03261140444148963,0.0,0.0,0,-0.03261140444148963,-1.0,0.6047999954223633,-0.6047999954223633,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-25,12.25,2067.030029296875,,0.8037862353288359,12.277577895802644,12.72398938465159,0.964915760666428,,0,-2.931853319447874,13.32799997329712,2,2,1.0,0.8302214246882297,0.5,0.5,0.0011363099222505557,0.0,0.0,0,0.0011363099222505557,-1.0,0.59,-0.59,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
